<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
22/01/21;00:00;1950.0000000;1963.0000000;1939.0000000;1951.0000000;380923
25/01/21;00:00;1952.0000000;1967.0000000;1943.2000000;1959.8000000;414373
26/01/21;00:00;1959.2000000;1984.0000000;1950.0000000;1979.4000000;491488
27/01/21;00:00;1985.4000000;2010.4000000;1961.2000000;1990.0000000;736262
28/01/21;00:00;1990.0000000;2003.8000000;1965.6000000;1979.2000000;560934
29/01/21;00:00;1974.8000000;1992.8000000;1920.2000000;1962.0000000;587278
01/02/21;00:00;1962.0000000;1987.0000000;1936.0000000;1977.0000000;543961
02/02/21;00:00;1976.0000000;2017.0000000;1971.4000000;1990.4000000;518247
03/02/21;00:00;1998.6000000;2025.0000000;1978.4000000;2014.8000000;448008
04/02/21;00:00;2018.0000000;2041.8000000;2012.2000000;2037.6000000;384430
05/02/21;00:00;2035.2000000;2052.0000000;2023.0000000;2042.0000000;389525
08/02/21;00:00;2042.0000000;2053.2000000;2019.0000000;2023.0000000;370670
09/02/21;00:00;2028.4000000;2035.0000000;2001.0000000;2013.6000000;315689
10/02/21;00:00;2025.8000000;2035.0000000;2010.2000000;2013.6000000;385312
11/02/21;00:00;2019.8000000;2029.8000000;2013.2000000;2020.2000000;233881
12/02/21;00:00;2025.0000000;2032.8000000;1977.0000000;2004.8000000;569616
15/02/21;00:00;2006.0000000;2027.6000000;2004.0000000;2021.2000000;229093
16/02/21;00:00;2024.0000000;2048.0000000;2006.4000000;2039.8000000;441171
17/02/21;00:00;2040.0000000;2053.0000000;2001.0000000;2024.2000000;465231
18/02/21;00:00;2015.2000000;2022.6000000;1993.2000000;1997.4000000;413517
19/02/21;00:00;1997.4000000;2032.8000000;1985.0000000;2018.8000000;286011
20/02/21;00:00;2021.8000000;2025.0000000;2010.0000000;2019.2000000;38733
22/02/21;00:00;2018.0000000;2023.8000000;1996.0000000;2002.4000000;320976
24/02/21;00:00;2003.0000000;2050.0000000;1995.2000000;2041.8000000;602434
25/02/21;00:00;2043.0000000;2047.2000000;2005.0000000;2007.6000000;280794
