begin;open;close;high;low;value;quantity;end
2019-10-02;3545.0;3504.0;3553.5;3500.0;731427634.5;207778;2019-10-02 23:59:59
2019-10-03;3500.5;3427.0;3511.5;3406.0;1297484810.5;376092;2019-10-03 23:59:59
2019-10-04;3433.0;3379.5;3444.5;3368.0;841568584.0;247208;2019-10-04 23:59:59
2019-10-07;3388.5;3355.0;3395.0;3355.0;653589908.5;193914;2019-10-07 23:59:59
2019-10-08;3375.5;3292.5;3378.0;3273.0;1658351079.0;500616;2019-10-08 23:59:59
2019-10-09;3292.5;3321.5;3325.0;3247.0;1553255483.0;471989;2019-10-09 23:59:59
2019-10-10;3327.5;3277.0;3331.5;3276.0;965657145.5;293444;2019-10-10 23:59:59
2019-10-11;3283.0;3211.5;3298.0;3202.5;1162485774.5;358561;2019-10-11 23:59:59
2019-10-14;3217.0;3136.5;3231.0;3136.5;1274928502.0;401405;2019-10-14 23:59:59
2019-10-15;3133.0;3215.0;3218.0;3110.5;1346425156.0;424317;2019-10-15 23:59:59
2019-10-16;3215.0;3254.5;3259.0;3186.0;1312128924.0;406231;2019-10-16 23:59:59
2019-10-17;3261.5;3239.5;3262.5;3221.0;908066102.5;280055;2019-10-17 23:59:59
2019-10-18;3240.0;3215.0;3242.0;3205.5;478785538.5;148655;2019-10-18 23:59:59
2019-10-21;3215.0;3175.0;3242.0;3168.0;952280170.5;297111;2019-10-21 23:59:59
2019-10-22;3177.0;3230.0;3231.0;3164.0;781275287.5;244592;2019-10-22 23:59:59
2019-10-23;3229.5;3214.0;3278.0;3195.0;1477652666.5;456937;2019-10-23 23:59:59
2019-10-24;3214.0;3231.0;3255.0;3207.0;1375574265.0;425348;2019-10-24 23:59:59
2019-10-25;3244.0;3182.0;3244.0;3105.0;1646960005.0;519627;2019-10-25 23:59:59
2019-10-28;3184.5;3168.0;3235.5;3162.0;893512904.0;279769;2019-10-28 23:59:59
2019-10-29;3174.0;3211.0;3247.0;3092.5;2761307978.5;867059;2019-10-29 23:59:59
2019-10-30;3211.0;3201.5;3223.0;3164.5;803786714.0;251591;2019-10-30 23:59:59
2019-10-31;3203.0;3232.0;3232.0;3199.0;908554527.0;282442;2019-10-31 23:59:59
2019-11-01;3241.0;3273.5;3320.0;3238.0;1622896625.0;494508;2019-11-01 23:59:59
2019-11-05;3306.0;3346.5;3370.0;3290.5;1439140009.5;431083;2019-11-05 23:59:59
2019-11-06;3347.0;3350.0;3366.5;3325.0;1003070464.0;299433;2019-11-06 23:59:59
2019-11-07;3350.0;3360.0;3379.0;3338.5;1102900799.0;328309;2019-11-07 23:59:59
2019-11-08;3352.0;3303.0;3358.5;3257.0;1382529718.5;418635;2019-11-08 23:59:59
2019-11-11;3307.5;3305.0;3324.5;3291.0;484864400.0;146558;2019-11-11 23:59:59
2019-11-12;3309.0;3320.5;3365.5;3306.0;1014656201.0;304579;2019-11-12 23:59:59
2019-11-13;3310.5;3333.0;3345.0;3301.5;545552844.0;163837;2019-11-13 23:59:59
2019-11-14;3328.0;3317.0;3374.0;3313.0;731446630.0;218870;2019-11-14 23:59:59
2019-11-15;3339.0;3305.5;3350.0;3280.0;722494276.5;218151;2019-11-15 23:59:59
2019-11-18;3341.0;3294.5;3348.0;3285.5;933385781.5;281723;2019-11-18 23:59:59
2019-11-19;3299.5;3334.0;3338.5;3291.5;752009800.5;226266;2019-11-19 23:59:59
2019-11-20;3321.0;3314.0;3330.0;3301.5;414824205.5;125173;2019-11-20 23:59:59
2019-11-21;3306.0;3270.0;3317.5;3257.0;909141742.0;277097;2019-11-21 23:59:59
2019-11-22;3275.0;3261.0;3292.5;3255.0;596467854.0;182253;2019-11-22 23:59:59
2019-11-25;3263.5;3240.0;3275.0;3240.0;639828160.0;196689;2019-11-25 23:59:59
2019-11-26;3247.0;3241.5;3264.5;3231.0;797146845.0;245512;2019-11-26 23:59:59
2019-11-27;3250.0;3245.5;3266.0;3234.5;650764825.5;200277;2019-11-27 23:59:59
2019-11-28;3243.0;3259.5;3264.0;3236.5;380909300.0;117151;2019-11-28 23:59:59
2019-11-29;3252.0;3283.0;3292.0;3236.5;617103325.0;189185;2019-11-29 23:59:59
2019-12-02;3280.0;3253.5;3303.5;3242.0;696347133.5;212731;2019-12-02 23:59:59
2019-12-03;3258.5;3180.0;3258.5;3174.0;1087898678.5;339489;2019-12-03 23:59:59
2019-12-04;3189.0;3195.5;3215.5;3151.5;606914889.5;190059;2019-12-04 23:59:59
2019-12-05;3206.0;3199.0;3222.0;3191.0;367279530.5;114491;2019-12-05 23:59:59
2019-12-06;3209.0;3207.0;3219.5;3195.5;304609028.0;94990;2019-12-06 23:59:59
2019-12-09;3210.0;3231.5;3234.5;3207.0;546344528.0;169494;2019-12-09 23:59:59
2019-12-10;3232.0;3234.0;3238.0;3211.5;288511621.0;89486;2019-12-10 23:59:59
2019-12-11;3233.0;3230.5;3258.5;3225.0;546777045.0;168718;2019-12-11 23:59:59
2019-12-12;3230.5;3235.0;3259.5;3230.5;681582016.5;209924;2019-12-12 23:59:59
2019-12-13;3245.0;3265.5;3274.0;3237.0;780109911.0;239230;2019-12-13 23:59:59
2019-12-16;3274.5;3265.5;3289.5;3255.5;748945462.5;228965;2019-12-16 23:59:59
2019-12-17;3267.0;3272.5;3285.5;3258.5;697340713.0;212907;2019-12-17 23:59:59
2019-12-18;3272.0;3271.0;3289.0;3268.5;830577526.5;253396;2019-12-18 23:59:59
2019-12-19;3272.5;3276.0;3288.5;3270.5;1072639998.5;327142;2019-12-19 23:59:59
2019-12-20;3325.0;3297.0;3352.0;3287.0;2193585847.0;661651;2019-12-20 23:59:59
2019-12-23;3310.0;3340.0;3344.5;3301.0;997296352.0;299716;2019-12-23 23:59:59
2019-12-24;3345.5;3371.5;3379.5;3341.0;1261415557.5;374963;2019-12-24 23:59:59
2019-12-25;3374.5;3416.0;3431.5;3372.0;1344859104.0;395050;2019-12-25 23:59:59
2019-12-26;3432.5;3449.0;3464.5;3424.0;1384159817.5;401759;2019-12-26 23:59:59
2019-12-27;3450.0;3428.0;3467.0;3412.5;1460439093.5;425257;2019-12-27 23:59:59
2019-12-30;3439.5;3425.0;3444.0;3416.5;870389006.5;253527;2019-12-30 23:59:59
2020-01-03;3441.5;3445.5;3460.0;3431.0;1008393449.5;292736;2020-01-03 23:59:59
2020-01-06;3450.0;3416.0;3455.5;3407.0;998219466.5;291656;2020-01-06 23:59:59
2020-01-08;3411.5;3427.0;3432.0;3381.0;1328983190.0;388935;2020-01-08 23:59:59
2020-01-09;3312.0;3348.0;3368.5;3300.5;1651011404.5;494609;2020-01-09 23:59:59
2020-01-10;3355.0;3319.5;3379.0;3312.0;1258236344.5;377004;2020-01-10 23:59:59
2020-01-13;3330.0;3345.0;3347.5;3306.5;743841882.0;223029;2020-01-13 23:59:59
2020-01-14;3347.0;3339.0;3370.5;3325.5;1214193575.0;362490;2020-01-14 23:59:59
2020-01-15;3342.0;3440.0;3463.0;3334.5;5269398946.5;1536796;2020-01-15 23:59:59
2020-01-16;3463.0;3625.0;3629.5;3460.0;5818698712.0;1631990;2020-01-16 23:59:59
2020-01-17;3661.0;3623.0;3700.0;3590.5;5210371629.0;1427595;2020-01-17 23:59:59
2020-01-20;3640.0;3855.0;3889.5;3638.0;6021054687.5;1597387;2020-01-20 23:59:59
2020-01-21;3840.0;3840.0;3885.0;3714.5;4362724516.0;1142441;2020-01-21 23:59:59
2020-01-22;3860.0;3750.0;3939.0;3750.0;4613470874.5;1202498;2020-01-22 23:59:59
2020-01-23;3723.0;3702.5;3750.0;3632.0;3301109391.0;891907;2020-01-23 23:59:59
2020-01-24;3733.5;3796.0;3815.0;3706.5;3876048592.0;1029119;2020-01-24 23:59:59
2020-01-27;3753.0;3708.5;3763.0;3683.0;2187566270.0;588295;2020-01-27 23:59:59
2020-01-28;3725.0;3751.0;3812.0;3708.0;2244990006.5;598307;2020-01-28 23:59:59
2020-01-29;3760.0;3819.5;3870.0;3731.0;2745019221.5;719415;2020-01-29 23:59:59
2020-01-30;3799.0;3830.0;3874.0;3775.5;2376745427.0;619101;2020-01-30 23:59:59
2020-01-31;3851.5;3727.0;3870.0;3727.0;2593931814.5;683034;2020-01-31 23:59:59
2020-02-03;3700.0;3720.5;3761.0;3668.0;2099093838.5;564697;2020-02-03 23:59:59
2020-02-04;3742.0;3750.0;3797.0;3725.0;1710403220.5;454530;2020-02-04 23:59:59
2020-02-05;3760.0;3783.5;3805.5;3700.0;3776064443.0;1004594;2020-02-05 23:59:59
2020-02-06;3814.5;3713.0;3839.0;3655.0;5602829223.5;1508406;2020-02-06 23:59:59
2020-02-07;3715.0;3640.0;3727.0;3625.5;2409643289.5;655079;2020-02-07 23:59:59
2020-02-10;3639.5;3564.5;3657.5;3507.0;2814614251.0;788949;2020-02-10 23:59:59
2020-02-11;3571.0;3575.0;3597.0;3512.0;2116460522.5;595258;2020-02-11 23:59:59
2020-02-12;3570.0;3760.0;3760.0;3563.0;4093766691.5;1114524;2020-02-12 23:59:59
2020-02-13;3745.0;3750.0;3806.5;3712.5;3202691093.5;852128;2020-02-13 23:59:59
2020-02-14;3760.0;3669.0;3768.5;3661.0;1776077517.0;480722;2020-02-14 23:59:59
2020-02-17;3684.0;3697.0;3718.0;3651.5;1670014524.5;452986;2020-02-17 23:59:59
2020-02-18;3690.0;3620.0;3690.0;3605.0;1673540392.5;460776;2020-02-18 23:59:59
2020-02-19;3632.5;3640.5;3668.0;3557.5;1981867302.0;547506;2020-02-19 23:59:59
