begin;open;close;high;low;value;quantity;end
2019-10-07;2270.0;2284.2;2299.8;2264.8;323926923.0;141878;2019-10-07 23:59:59
2019-10-08;2296.6;2295.2;2304.8;2270.0;376012758.0;164533;2019-10-08 23:59:59
2019-10-09;2305.4;2312.0;2323.4;2303.8;361533365.4;156160;2019-10-09 23:59:59
2019-10-10;2307.4;2327.0;2330.0;2298.0;523236840.2;226461;2019-10-10 23:59:59
2019-10-11;2314.8;1898.0;2315.0;1852.4;11896489119.8;5984353;2019-10-11 23:59:59
2019-10-14;1935.8;1975.6;2025.0;1901.0;7304728550.8;3695198;2019-10-14 23:59:59
2019-10-15;1970.2;1986.6;2005.0;1965.6;2578004776.6;1297444;2019-10-15 23:59:59
2019-10-16;1975.0;1957.2;1990.0;1943.0;2159416113.8;1096214;2019-10-16 23:59:59
2019-10-17;1949.6;1927.0;1949.6;1903.4;1759046362.4;912882;2019-10-17 23:59:59
2019-10-18;1929.2;1934.0;1978.8;1926.0;1528000524.2;784016;2019-10-18 23:59:59
2019-10-21;2043.0;2061.0;2142.8;2030.0;9609488972.8;4624847;2019-10-21 23:59:59
2019-10-22;2093.0;2054.6;2110.0;2050.0;2665074738.0;1282197;2019-10-22 23:59:59
2019-10-23;2054.6;2046.6;2069.0;2032.0;1325983857.0;645769;2019-10-23 23:59:59
2019-10-24;2049.8;2090.2;2092.0;2041.6;2409791011.0;1160874;2019-10-24 23:59:59
2019-10-25;2100.0;2064.0;2158.6;2041.0;4790570314.6;2281301;2019-10-25 23:59:59
2019-10-28;2073.4;2118.4;2149.2;2065.0;2731454152.6;1299592;2019-10-28 23:59:59
2019-10-29;2138.8;2134.4;2152.8;2105.8;1920307252.2;901455;2019-10-29 23:59:59
2019-10-30;2142.0;2156.0;2164.6;2134.4;1328156309.2;617236;2019-10-30 23:59:59
2019-10-31;2156.0;2125.8;2164.8;2115.0;1477742262.8;689192;2019-10-31 23:59:59
2019-11-01;2141.8;2138.0;2143.8;2125.0;757199220.8;354492;2019-11-01 23:59:59
2019-11-05;2162.6;2171.4;2178.0;2150.2;1302468997.0;601804;2019-11-05 23:59:59
2019-11-06;2178.0;2191.0;2198.6;2176.0;1133736081.6;518024;2019-11-06 23:59:59
2019-11-07;2185.0;2187.8;2198.8;2171.0;905295005.8;413649;2019-11-07 23:59:59
2019-11-08;2176.8;2184.8;2189.0;1962.4;1284237229.0;594011;2019-11-08 23:59:59
2019-11-11;2184.8;2179.6;2191.0;2161.2;777604083.2;357052;2019-11-11 23:59:59
2019-11-12;2183.0;2184.0;2189.0;2168.0;754771903.8;345968;2019-11-12 23:59:59
2019-11-13;2175.0;2173.8;2182.6;2168.0;625413277.6;287619;2019-11-13 23:59:59
2019-11-14;2180.0;2186.4;2193.0;2172.0;712811177.0;326460;2019-11-14 23:59:59
2019-11-15;2201.6;2267.0;2269.8;2195.2;2322915416.2;1043115;2019-11-15 23:59:59
2019-11-18;2375.0;2525.2;2540.0;2350.0;10527121094.6;4299962;2019-11-18 23:59:59
2019-11-19;2545.2;2510.0;2545.4;2480.0;3841685222.4;1532269;2019-11-19 23:59:59
2019-11-20;2492.6;2514.4;2524.0;2453.0;1692337894.0;679264;2019-11-20 23:59:59
2019-11-21;2538.0;2549.0;2564.2;2515.2;1923435849.8;757387;2019-11-21 23:59:59
2019-11-22;2541.0;2566.2;2569.8;2535.0;1181902897.2;462448;2019-11-22 23:59:59
2019-11-25;2570.4;2629.0;2629.0;2560.0;1137667974.2;438635;2019-11-25 23:59:59
2019-11-26;2624.6;2635.8;2662.0;2593.0;1286289649.0;489145;2019-11-26 23:59:59
2019-11-27;2648.8;2668.0;2682.0;2640.2;1294958166.6;485951;2019-11-27 23:59:59
2019-11-28;2669.0;2624.6;2676.6;2600.2;1377699399.8;524581;2019-11-28 23:59:59
2019-11-29;2624.6;2693.0;2696.8;2606.4;1663705321.0;626398;2019-11-29 23:59:59
2019-12-02;2695.0;2620.6;2728.8;2613.0;2621218542.4;975004;2019-12-02 23:59:59
2019-12-03;2631.2;2599.0;2654.8;2582.4;1515771456.0;578816;2019-12-03 23:59:59
2019-12-04;2601.0;2607.4;2642.0;2592.6;832904281.4;318633;2019-12-04 23:59:59
2019-12-05;2603.8;2568.4;2603.8;2555.6;928571857.6;361210;2019-12-05 23:59:59
2019-12-06;2568.6;2570.4;2595.8;2541.6;718989381.0;279789;2019-12-06 23:59:59
2019-12-09;2575.0;2584.0;2608.8;2560.2;700084757.6;271020;2019-12-09 23:59:59
2019-12-10;2578.8;2588.0;2593.4;2536.0;692238276.2;269996;2019-12-10 23:59:59
2019-12-11;2577.0;2595.0;2598.0;2571.4;541574833.0;209314;2019-12-11 23:59:59
2019-12-12;2610.8;2628.0;2649.8;2600.0;772282977.0;294220;2019-12-12 23:59:59
2019-12-13;2636.0;2662.8;2663.0;2605.2;938051355.6;357034;2019-12-13 23:59:59
2019-12-16;2700.2;2690.0;2718.8;2675.4;1535833692.4;569932;2019-12-16 23:59:59
2019-12-17;2676.0;2660.0;2693.6;2644.2;778833581.8;291791;2019-12-17 23:59:59
2019-12-18;2634.4;2625.0;2654.8;2612.0;928109588.2;352397;2019-12-18 23:59:59
2019-12-19;2617.2;2623.2;2659.0;2615.0;1357212822.2;514688;2019-12-19 23:59:59
2019-12-20;2653.0;2680.0;2693.8;2650.2;1299544596.8;486341;2019-12-20 23:59:59
