begin;open;close;high;low;value;quantity;end
2019-07-16;234.68;234.75;235.3;232.25;8469613947.2;36223090;2019-07-16 23:59:59
2019-07-17;234.32;234.63;238.04;233.5;7916484903.5;33529510;2019-07-17 23:59:59
2019-07-18;234.0;234.78;236.4;233.5;5421952289.0;23057060;2019-07-18 23:59:59
2019-07-19;236.34;232.85;237.93;232.32;8156962941.6;34706170;2019-07-19 23:59:59
2019-07-22;233.0;230.35;233.98;228.57;8783436642.4;37949300;2019-07-22 23:59:59
2019-07-23;230.5;232.48;232.83;228.52;8401389505.7;36363560;2019-07-23 23:59:59
2019-07-24;233.7;230.65;234.0;229.9;6355386841.4;27365890;2019-07-24 23:59:59
2019-07-25;230.0;232.9;234.65;229.02;7688444437.3;33078390;2019-07-25 23:59:59
2019-07-26;232.4;230.55;233.99;230.25;6015905213.4;25918140;2019-07-26 23:59:59
2019-07-29;230.75;232.8;233.74;230.18;4268129902.1;18373570;2019-07-29 23:59:59
2019-07-30;233.03;236.0;236.0;231.13;8133168850.2;34843870;2019-07-30 23:59:59
2019-07-31;237.5;233.49;237.55;233.11;11973417433.7;50848520;2019-07-31 23:59:59
2019-08-01;232.15;229.5;232.46;228.5;12919251256.6;56165810;2019-08-01 23:59:59
2019-08-02;224.91;220.81;226.88;220.3;21168981970.1;94676140;2019-08-02 23:59:59
2019-08-05;219.72;222.24;224.0;219.45;10951329795.7;49233230;2019-08-05 23:59:59
2019-08-06;222.82;226.01;226.88;222.3;10994183243.5;48804210;2019-08-06 23:59:59
2019-08-07;225.85;222.25;227.6;221.9;11134426036.8;49612760;2019-08-07 23:59:59
2019-08-08;224.6;223.93;225.9;223.18;7020281496.8;31264340;2019-08-08 23:59:59
2019-08-09;224.05;220.67;224.36;220.67;7008035302.4;31503650;2019-08-09 20:29:59
2019-08-12;222.38;222.3;222.99;219.74;6376561167.9;28795640;2019-08-12 23:59:59
2019-08-13;221.31;223.18;225.75;220.07;10426580466.8;46729240;2019-08-13 23:59:59
2019-08-14;224.1;217.11;224.25;216.6;11432328998.1;52025460;2019-08-14 23:59:59
2019-08-15;218.5;214.59;218.94;212.88;14720511306.4;68320490;2019-08-15 23:59:59
2019-08-16;215.9;215.05;216.75;213.91;8278137161.1;38449500;2019-08-16 23:59:59
2019-08-19;217.0;217.4;218.2;214.06;8175727934.7;37788830;2019-08-19 23:59:59
2019-08-20;217.75;216.0;219.23;215.53;8038759907.7;37017510;2019-08-20 23:59:59
2019-08-21;216.97;218.62;219.5;215.8;9367396845.4;42949600;2019-08-21 23:59:59
2019-08-22;218.21;219.5;220.4;217.35;10023740283.8;45760130;2019-08-22 23:59:59
2019-08-23;220.2;219.5;223.1;217.86;12059412882.8;54778400;2019-08-23 23:59:59
2019-08-26;217.5;218.5;219.64;216.53;7702639286.0;35264670;2019-08-26 23:59:59
2019-08-27;218.95;217.89;219.05;215.61;11169112379.1;51340690;2019-08-27 23:59:59
2019-08-28;218.07;218.3;219.08;217.18;6609291772.3;30298300;2019-08-28 23:59:59
2019-08-29;218.49;221.5;221.5;218.05;7907146900.3;35897160;2019-08-29 23:59:59
2019-08-30;221.94;224.2;225.2;221.21;13024846001.0;58186220;2019-08-30 23:59:59
2019-09-02;224.1;226.68;227.84;223.41;8811801767.0;38941480;2019-09-02 23:59:59
2019-09-03;225.95;224.0;226.25;222.05;9969137870.0;44560910;2019-09-03 23:59:59
2019-09-04;225.3;227.1;227.5;224.69;9419148686.7;41663520;2019-09-04 23:59:59
2019-09-05;229.5;230.79;230.93;228.36;12613786320.0;54900790;2019-09-05 23:59:59
2019-09-06;231.0;229.02;231.2;228.36;8712649385.2;37942350;2019-09-06 23:59:59
2019-09-09;229.88;229.0;230.87;227.61;5221598395.5;22795060;2019-09-09 23:59:59
2019-09-10;228.5;233.3;235.23;227.1;14002586557.4;60396660;2019-09-10 23:59:59
2019-09-11;233.49;234.72;235.9;232.62;9829198336.9;41927500;2019-09-11 23:59:59
2019-09-12;234.9;234.57;235.42;232.81;9129512191.0;38978190;2019-09-12 23:59:59
2019-09-13;234.12;233.0;235.0;231.91;5393664930.4;23109620;2019-09-13 23:59:59
2019-09-16;235.0;235.32;235.53;233.2;9289730429.8;39568910;2019-09-16 23:59:59
2019-09-17;235.22;235.89;237.2;233.99;13128176200.8;55770430;2019-09-17 23:59:59
2019-09-18;235.8;235.3;236.45;234.45;6027760806.6;25599810;2019-09-18 23:59:59
2019-09-19;234.86;234.98;235.49;233.12;9249295187.2;39447820;2019-09-19 23:59:59
2019-09-20;235.0;232.0;235.5;230.72;9437218924.6;40638980;2019-09-20 23:59:59
2019-09-23;231.7;229.7;232.17;229.05;6489165111.7;28199640;2019-09-23 23:59:59
2019-09-24;230.0;227.5;231.99;227.11;9972579439.1;43410340;2019-09-24 23:59:59
2019-09-25;226.5;228.09;228.3;225.3;8611835756.0;37974670;2019-09-25 23:59:59
2019-09-26;228.21;229.09;230.9;227.71;7512187937.8;32739690;2019-09-26 23:59:59
2019-09-27;229.2;228.05;229.96;228.05;4135961998.5;18062510;2019-09-27 23:59:59
2019-09-30;228.5;227.71;229.0;226.05;6876686920.8;30235910;2019-09-30 23:59:59
2019-10-01;227.55;226.49;229.56;226.49;6813487722.8;29870590;2019-10-01 23:59:59
2019-10-02;226.05;223.5;226.63;223.03;9527050503.5;42441850;2019-10-02 23:59:59
2019-10-03;223.6;224.08;225.64;222.61;8607791413.8;38368040;2019-10-03 23:59:59
2019-10-04;224.9;222.76;226.06;221.87;7229037224.3;32222650;2019-10-04 23:59:59
2019-10-07;223.13;227.55;227.8;222.41;9055294553.1;40155510;2019-10-07 23:59:59
2019-10-08;227.77;226.03;228.18;225.15;7019632436.8;31019500;2019-10-08 23:59:59
2019-10-09;226.03;227.7;229.0;225.52;9041797336.5;39714120;2019-10-09 23:59:59
2019-10-10;227.89;228.5;228.94;225.62;7203071962.8;31717090;2019-10-10 23:59:59
2019-10-11;229.5;230.31;231.2;228.97;8629478331.8;37497240;2019-10-11 23:59:59
2019-10-14;230.29;228.4;230.67;227.82;7933452937.8;34628680;2019-10-14 23:59:59
2019-10-15;228.78;229.4;229.88;227.0;7029710726.6;30763750;2019-10-15 23:59:59
2019-10-16;229.05;231.0;231.2;229.05;9040056309.4;39214000;2019-10-16 23:59:59
2019-10-17;230.7;233.5;233.5;230.52;10678748294.1;46007620;2019-10-17 23:59:59
2019-10-18;233.2;235.55;236.03;232.8;10035121583.6;42729350;2019-10-18 23:59:59
2019-10-21;236.0;234.94;236.88;234.04;6692570441.0;28457490;2019-10-21 23:59:59
2019-10-22;235.02;239.77;239.77;235.0;9566243389.4;40298890;2019-10-22 23:59:59
2019-10-23;239.2;239.57;240.18;237.76;8277292939.0;34655410;2019-10-23 23:59:59
2019-10-24;239.63;242.78;242.78;239.06;9729515862.3;40384770;2019-10-24 23:59:59
2019-10-25;242.52;240.0;242.77;237.85;11920857496.5;49789040;2019-10-25 23:59:59
2019-10-28;240.5;237.03;242.33;235.25;9353118338.7;39049350;2019-10-28 23:59:59
2019-10-29;237.1;240.11;240.2;236.0;9899718643.9;41494140;2019-10-29 23:59:59
2019-10-30;239.69;239.51;242.2;237.85;10474892277.3;43597180;2019-10-30 23:59:59
2019-10-31;240.7;234.89;242.0;234.01;14333282167.9;60316780;2019-10-31 23:59:59
2019-11-01;235.35;236.4;236.74;232.8;9220837088.0;39229280;2019-11-01 23:59:59
2019-11-05;239.6;238.53;240.98;236.7;10418811901.4;43691630;2019-11-05 23:59:59
2019-11-06;238.42;239.02;239.02;236.52;7952301153.2;33409220;2019-11-06 23:59:59
2019-11-07;238.11;242.5;242.95;237.71;10779450937.4;44689490;2019-11-07 23:59:59
2019-11-08;241.42;240.17;241.68;238.7;7342414951.4;30570360;2019-11-08 23:59:59
2019-11-11;239.0;241.5;242.4;238.31;6538637824.3;27141630;2019-11-11 23:59:59
2019-11-12;241.9;239.87;243.74;239.5;8590798985.9;35518510;2019-11-12 23:59:59
2019-11-13;238.91;237.21;239.57;235.81;7473242462.4;31448020;2019-11-13 23:59:59
2019-11-14;237.62;237.5;239.13;236.82;8160757018.1;34330750;2019-11-14 23:59:59
2019-11-15;237.9;240.0;240.18;236.45;7323638859.0;30696890;2019-11-15 23:59:59
2019-11-18;240.57;237.45;241.23;236.36;7861032604.7;32959720;2019-11-18 23:59:59
2019-11-19;237.6;239.25;239.82;237.2;6958331286.1;29135880;2019-11-19 23:59:59
2019-11-20;238.6;237.78;240.2;237.1;6694764012.7;28102170;2019-11-20 23:59:59
2019-11-21;237.44;237.15;238.0;235.8;5837423118.4;24654430;2019-11-21 23:59:59
2019-11-22;236.59;238.13;240.19;236.53;8001650684.8;33570690;2019-11-22 23:59:59
2019-11-25;238.68;237.98;239.75;237.21;4183426976.6;17558180;2019-11-25 23:59:59
2019-11-26;238.08;235.0;238.1;234.35;13740719377.8;58341360;2019-11-26 23:59:59
2019-11-27;235.26;234.22;236.45;233.51;5141770254.6;21885350;2019-11-27 23:59:59
2019-11-28;234.2;235.2;235.5;233.1;4418997771.4;18855690;2019-11-28 23:59:59
2019-11-29;234.65;233.98;235.14;231.97;6370105736.3;27285350;2019-11-29 23:59:59
2019-12-02;234.59;233.77;236.37;233.0;6622698810.4;28216350;2019-12-02 23:59:59
2019-12-03;233.49;230.66;234.06;230.13;6181173482.9;26687260;2019-12-03 23:59:59
2019-12-04;230.72;231.59;232.24;229.5;5621094961.8;24314550;2019-12-04 23:59:59
2019-12-05;231.89;231.71;232.15;229.03;5353284865.8;23210580;2019-12-05 23:59:59
2019-12-06;232.0;235.14;235.14;231.55;7777357128.9;33286170;2019-12-06 23:59:59
2019-12-09;235.5;237.04;237.5;234.3;7503116033.1;31774040;2019-12-09 23:59:59
2019-12-10;236.6;237.91;239.29;236.0;8592139689.9;36098910;2019-12-10 23:59:59
2019-12-11;237.81;240.32;241.23;237.7;10612153788.4;44167850;2019-12-11 23:59:59
2019-12-12;242.0;241.05;242.3;240.09;8731105191.4;36174650;2019-12-12 23:59:59
2019-12-13;242.0;241.21;243.25;241.1;8026327875.7;33163750;2019-12-13 23:59:59
2019-12-16;242.48;241.45;242.48;240.13;6186560505.6;25624180;2019-12-16 23:59:59
2019-12-17;241.8;241.6;242.96;241.0;8187207941.9;33841520;2019-12-17 23:59:59
2019-12-18;241.3;246.2;246.25;240.36;13601102505.0;55765490;2019-12-18 23:59:59
2019-12-19;246.2;244.0;248.4;243.1;14726176097.4;59951760;2019-12-19 23:59:59
2019-12-20;244.6;244.71;245.4;243.72;8059444818.5;32957750;2019-12-20 23:59:59
2019-12-23;244.71;248.8;249.19;244.07;5921982333.9;23996810;2019-12-23 23:59:59
2019-12-24;248.8;248.67;249.89;247.27;5237753854.0;21062040;2019-12-24 23:59:59
2019-12-25;248.99;248.04;249.3;247.11;1964919964.3;7921260;2019-12-25 23:59:59
2019-12-26;248.2;248.24;249.24;246.71;3220751527.7;12989080;2019-12-26 23:59:59
2019-12-27;248.55;252.06;252.95;248.55;8018118071.0;31982760;2019-12-27 23:59:59
2019-12-30;252.1;254.75;256.0;250.73;10959893255.5;43157360;2019-12-30 23:59:59
2020-01-03;255.99;255.0;258.19;253.7;9165474633.3;35851840;2020-01-03 23:59:59
2020-01-06;254.75;253.9;254.84;251.4;5646009935.8;22348300;2020-01-06 23:59:59
2020-01-08;253.57;259.15;259.15;253.03;10485882097.9;40817240;2020-01-08 23:59:59
2020-01-09;259.4;257.99;261.76;257.01;9936032087.9;38329020;2020-01-09 23:59:59
2020-01-10;257.86;258.19;259.25;256.88;4864405366.3;18851390;2020-01-10 23:59:59
2020-01-13;258.3;262.4;262.4;257.15;6719255698.1;25855010;2020-01-13 23:59:59
2020-01-14;262.5;259.05;263.22;258.62;8103825686.4;31125740;2020-01-14 23:59:59
2020-01-15;258.49;256.31;258.91;254.21;12661740755.8;49361790;2020-01-15 23:59:59
2020-01-16;257.11;257.51;259.51;256.1;10367670370.1;40246770;2020-01-16 23:59:59
2020-01-17;258.2;262.5;262.82;257.75;11730973230.7;44914290;2020-01-17 23:59:59
2020-01-20;263.2;266.28;266.97;261.8;7891039716.6;29797710;2020-01-20 23:59:59
2020-01-21;265.5;268.06;268.9;263.02;10116243295.7;38082090;2020-01-21 23:59:59
2020-01-22;268.72;266.54;270.8;265.5;11869000221.9;44282490;2020-01-22 23:59:59
2020-01-23;264.64;263.73;266.89;262.24;10758037619.6;40604170;2020-01-23 23:59:59
2020-01-24;264.5;265.49;267.5;264.21;7262832432.3;27340100;2020-01-24 23:59:59
2020-01-27;261.0;255.32;262.1;255.32;14573355407.9;56453370;2020-01-27 23:59:59
2020-01-28;257.0;257.7;258.84;254.1;12365444789.1;48137360;2020-01-28 23:59:59
2020-01-29;258.4;259.94;261.57;257.61;9098209650.8;35047940;2020-01-29 23:59:59
2020-01-30;258.0;257.31;258.69;255.27;8167114682.7;31769340;2020-01-30 23:59:59
2020-01-31;258.5;252.2;259.2;252.17;12249844290.7;47921560;2020-01-31 23:59:59
2020-02-03;251.8;253.99;254.96;251.1;13363918755.6;52728460;2020-02-03 23:59:59
2020-02-04;255.3;255.4;257.38;252.9;12692962569.8;49786360;2020-02-04 23:59:59
2020-02-05;255.89;255.2;257.66;253.14;12992374109.8;50756570;2020-02-05 23:59:59
2020-02-06;256.5;252.11;258.0;251.86;11098851157.0;43615980;2020-02-06 23:59:59
2020-02-07;253.1;254.3;254.3;248.73;12648688569.6;50226630;2020-02-07 23:59:59
2020-02-10;254.55;252.26;255.73;252.07;8929308973.1;35220690;2020-02-10 23:59:59
2020-02-11;253.75;254.5;259.77;253.0;20381955261.5;79454730;2020-02-11 23:59:59
2020-02-12;255.4;254.5;255.49;252.31;13351886412.8;52523300;2020-02-12 23:59:59
2020-02-13;253.62;253.89;255.18;252.5;9314224120.0;36730840;2020-02-13 23:59:59
2020-02-14;254.4;251.75;254.4;251.4;7579007855.0;30017380;2020-02-14 23:59:59
2020-02-17;252.5;251.36;253.1;250.13;6637504387.0;26429380;2020-02-17 23:59:59
